stage,waves,bosses,waveGold,clearGold,directGold,cumDirectGold,milestoneGold,cumMilestoneGold,cumGold,milestoneStarfire,cumStarfire,repeatGold,repeatStarfire,hpScale,atkScale,tier_skills_used,tier_orders,tier_merges,tier_stage_clear,tier_best_wave,tier_waves,tier_bosses
21,30,5,51,511,2041,21118,0,2552,23670,497,7935,2214,0,11.523087764723353,11.523087764723353,0,0,0,21,5,14,11
22,30,5,55,555,2205,23323,173,2725,26048,515,8450,2454,0,13.021089174137387,13.021089174137387,0,0,0,22,5,14,12
23,30,5,60,602,2402,25725,249,2974,28699,533,8983,2402,0,14.713830766775246,14.713830766775246,0,0,0,23,5,15,12
24,30,5,65,653,2603,28328,0,2974,31302,552,9535,2884,0,16.626628766456026,16.626628766456026,0,0,0,24,5,15,12
25,30,5,71,708,2838,31166,281,3255,34421,571,10106,3033,0,18.78809050609531,18.78809050609531,0,0,0,25,5,16,12
26,30,5,77,769,3079,34245,195,3450,37695,591,10697,3079,0,21.230542271887696,21.230542271887696,0,0,0,26,5,16,13
27,30,5,83,834,3324,37569,0,3450,41019,611,11308,3324,0,23.990512767233096,23.990512767233096,0,0,0,27,5,16,13
28,30,5,90,905,3605,41174,0,3450,44624,633,11941,4143,0,27.109279426973394,27.109279426973394,0,0,0,28,5,16,13
29,30,5,98,982,3922,45096,538,3988,49084,655,12596,3922,0,30.633485752479935,30.633485752479935,0,0,0,29,5,17,14
30,30,5,107,1065,4275,49371,0,3988,53359,678,13274,4275,0,34.61583890030232,34.61583890030232,0,0,0,30,5,17,14
31,30,5,116,1156,4636,54007,0,3988,57995,702,13976,4995,0,39.115897957341616,39.115897957341616,0,0,0,31,5,17,14
32,30,5,125,1254,5004,59011,359,4347,63358,726,14702,5253,0,44.200964691796024,44.200964691796024,0,0,0,32,5,18,14
33,30,5,136,1361,5441,64452,249,4596,69048,752,15454,5441,0,49.9470901017295,49.9470901017295,0,0,0,33,5,18,15
34,30,5,148,1476,5916,70368,0,4596,74964,778,16232,5916,0,56.44021181495434,56.44021181495434,0,0,0,34,5,18,15
35,30,5,160,1602,6402,76770,0,4596,81366,805,17037,6808,0,63.77743935089839,63.77743935089839,0,0,0,35,5,18,15
36,30,5,174,1738,6958,83728,406,5002,88730,833,17870,7239,0,72.06850646651517,72.06850646651517,0,0,0,36,5,19,15
37,30,5,189,1886,7556,91284,281,5283,96567,863,18733,7556,0,81.43741230716213,81.43741230716213,0,0,0,37,5,19,16
38,30,5,205,2046,8196,99480,0,5283,104763,893,19626,8196,0,92.02427590709321,92.02427590709321,0,0,0,38,5,19,16
39,30,5,222,2220,8880,108360,0,5283,113643,924,20550,9339,0,103.98743177501532,103.98743177501532,0,0,0,39,5,19,16
40,30,5,241,2409,9639,117999,459,5742,123741,956,21506,9639,0,117.5057979057673,117.5057979057673,0,0,0,40,5,20,16
41,30,5,261,2613,10443,128442,0,5742,134184,990,22496,10761,0,132.78155163351704,132.78155163351704,0,0,0,41,5,20,16
42,30,5,284,2835,11355,139797,318,6060,145857,1024,23520,11355,0,150.04315334587423,150.04315334587423,0,0,0,42,5,20,17
43,30,5,308,3076,12316,152113,0,6060,158173,1060,24580,12835,0,169.54876328083787,169.54876328083787,0,0,0,43,5,20,17
44,30,5,334,3338,13358,165471,519,6579,172050,1097,25677,13358,0,191.59010250734678,191.59010250734678,0,0,0,44,5,21,17
45,30,5,362,3622,14482,179953,0,6579,186532,1136,26813,14482,0,216.49681583330184,216.49681583330184,0,0,0,45,5,21,17
46,30,5,393,3930,15720,195673,0,6579,202252,1176,27989,16079,0,244.64140189163106,244.64140189163106,0,0,0,46,5,21,17
47,30,5,426,4264,17044,212717,359,6938,219655,1217,29206,17044,0,276.4447841375431,276.4447841375431,0,0,0,47,5,21,18
48,30,5,463,4626,18516,231233,0,6938,238171,1259,30465,19102,0,312.3826060754236,312.3826060754236,0,0,0,48,5,21,18
49,30,5,502,5019,20079,251312,586,7524,258836,1303,31768,20079,0,352.9923448652287,352.9923448652287,0,0,0,49,5,22,18
50,30,5,545,5446,21796,273108,0,7524,280632,1349,33117,21796,0,398.88134969770834,398.88134969770834,0,0,0,50,5,22,18
51,30,5,591,5909,23639,296747,0,7524,304271,1396,34513,24045,0,450.7359251584104,450.7359251584104,0,0,0,51,5,22,18
52,30,5,641,6411,25641,322388,406,7930,330318,1445,35958,25641,0,509.3315954290037,509.3315954290037,0,0,0,52,5,22,19
53,30,5,696,6956,27836,350224,0,7930,358154,1496,37454,27836,0,575.5447028347742,575.5447028347742,0,0,0,53,5,22,19
54,30,5,755,7547,30197,380421,0,7930,388351,1548,39002,30859,0,650.3655142032947,650.3655142032947,0,0,0,54,5,22,19
55,30,5,819,8189,32759,413180,662,8592,421772,1602,40604,32759,0,734.913031049723,734.913031049723,0,0,0,55,5,23,19
56,30,5,888,8885,35525,448705,0,8592,457297,1658,42262,35525,0,830.4517250861868,830.4517250861868,0,0,0,56,5,23,19
57,30,5,964,9640,38560,487265,0,8592,495857,1716,43978,39019,0,938.410449347391,938.410449347391,0,0,0,57,5,23,19
58,30,5,1046,10459,41839,529104,459,9051,538155,1776,45754,41839,0,1060.4038077625519,1060.4038077625519,0,0,0,58,5,23,20
59,30,5,1135,11348,45398,574502,0,9051,583553,1839,47593,46146,0,1198.2563027716835,1198.2563027716835,0,0,0,59,5,23,20
60,30,5,1231,12313,49243,623745,748,9799,633544,1903,49496,49243,0,1354.0296221320023,1354.0296221320023,0,0,0,60,5,24,20
